frame,door,l2,l0,l1,agent,pull_perp_l2,push_perp_l2,pull_perp_door,push_perp_door,pull_perp_l0,push_perp_l0,pull_perp_l1,push_perp_l1
0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,1,0,0,0,0
2,0,0,1,1,0,0,0,0,0,0,0,0,0
3,0,0,1,1,0,0,0,1,0,0,0,0,0
4,0,0,1,1,0,0,0,0,0,0,0,0,0
5,0,0,1,1,0,0,1,0,0,0,0,0,0
6,0,0,1,1,0,0,0,0,0,0,0,0,0
7,0,0,1,1,0,1,0,0,0,0,0,0,0
8,0,0,1,1,0,0,0,0,0,0,0,0,0
9,0,0,1,1,0,0,0,0,0,0,0,0,1
10,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,1,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,1,0,0,0,0,0,0,0
14,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,1,0,0,0,0
16,1,1,0,0,0,0,0,0,0,0,0,0,0
